title,author,release_date,last_updated,language,ebook,character_set_encoding,chapter_count,section_count,lines_count,number_of_words,publish_year
Town Geology,Charles Kingsley,"November 24, 2003","November 24, 2003",English,10251,ASCII,0,4,4625,46637,2003
The Glands Regulating Personality,"Louis Berman, M.D.","November 25, 2003","November 25, 2003",English,10266,ASCII,13,4,13210,118803,2003
The Outdoor Chums,Captain Quincy Allen,"November 25, 2003","November 25, 2003",English,10267,ASCII,25,4,6152,48334,2003
Patty at Home,Carolyn Wells,"November 25, 2003","November 25, 2003",English,10268,ASCII,25,4,6854,51859,2003
Sermons on Evil-Speaking,Isaac Barrow,"November 25, 2003","November 25, 2003",English,10274,ASCII,0,4,4309,41407,2003
In The Fourth Year,H.G. Wells,"November 26, 2003","November 26, 2003",English,10291,ASCII,0,4,3868,39236,2003
"Punchinello, Vol. 2, No. 36, December 3, 1870",Various,"November 26, 2003","November 26, 2003",English,10292,ASCII,2,4,2646,17940,2003
Verse and Prose for Beginners in Reading,"Horace Elisha Scudder, editor","November 26, 2003","November 26, 2003",English,10294,ASCII,0,4,3372,16633,2003
Audio: After Dinner Toast at Little Menlo,Arthur Sullivan,"November 26, 2003","November 26, 2003",English,10310,ASCII,0,4,440,3343,2003
Sonnets,Michael Angelo Buonarroti & Tommaso Campanella,"November 26, 2003","November 26, 2003",English,10314,ASCII,0,4,5750,34735,2003
"Persian Literature, Volume 1,Comprising The Shah Nameh, The",Anonymous,"November 26, 2003","November 26, 2003",English,10315,ASCII,0,4,17471,146169,2003
Roy Blakeley's Adventures in Camp,Percy Keese Fitzhugh,"November 26, 2003","November 26, 2003",English,10316,ASCII,40,4,5954,49300,2003
Betty Gordon at Boarding School,Alice Emerson,"November 27, 2003","November 27, 2003",English,10317,ASCII,25,4,5976,45815,2003
Damon and Delia,William Godwin,"November 27, 2003","November 27, 2003",English,10318,ASCII,36,4,3301,31967,2003
Dave Darrin's Third Year at Annapolis,H. Irving Hancock,"November 27, 2003","November 27, 2003",English,10319,ASCII,25,4,7329,50764,2003
Dotty Dimple at Play,Sophie May,"November 27, 2003","November 27, 2003",English,10320,ASCII,12,4,3557,26811,2003
Dragon's blood,Henry Milner Rideout,"November 27, 2003","November 27, 2003",English,10321,ASCII,21,4,7197,57084,2003
Miss Prudence,Jennie Maria (Drinkwater) Conklin,"November 27, 2003","November 27, 2003",English,10322,ASCII,0,4,13831,111927,2003
The Rover Boys at College,Edward Stratemeyer,"November 27, 2003","November 27, 2003",English,10323,ASCII,30,4,8319,57446,2003
Bull Hunter,Max Brand,"November 27, 2003","November 27, 2003",English,10324,ASCII,20,4,6403,55614,2003
The Gospel of the Pentateuch,Charles Kingsley,"November 27, 2003","November 27, 2003",English,10325,ASCII,0,4,5999,59441,2003
David,Charles Kingsley,"November 27, 2003","November 27, 2003",English,10326,ASCII,0,4,1933,18262,2003
Alias The Lone Wolf,Louis Joseph Vance,"November 29, 2003","November 29, 2003",English,10327,ASCII,1,4,12471,96753,2003
Poems,Walter R. Cassels,"November 29, 2003","November 29, 2003",English,10328,ASCII,0,4,5050,29438,2003
Snubby Nose and Tippy Toes,Laura Rountree Smith,"November 29, 2003","November 29, 2003",English,10329,ASCII,32,4,2809,17573,2003
"The Mirror of Literature, Amusement, and Instruction",Various,"November 29, 2003","November 29, 2003",English,10331,ASCII,0,4,1930,16012,2003
"The Mirror of Literature, Amusement, and Instruction",Various,"November 29, 2003","November 29, 2003",English,10332,ASCII,0,4,1927,15959,2003
The European Anarchy,G. Lowes Dickinson,"November 29, 2003","November 29, 2003",English,10333,ASCII,0,4,3221,32283,2003
Children's Rights and Others,Kate Douglas Smith Wiggin,"November 29, 2003","November 29, 2003",English,10335,ASCII,0,4,4798,44361,2003
"A Select Collection of Old English Plays, Vol. VII (4th edition)",Various,"November 29, 2003","November 29, 2003",English,10336,ASCII,0,4,20474,123077,2003
Lady Into Fox,David Garnett,"November 29, 2003","January 8, 2005",English,10337,US-ASCII,0,4,2688,27786,2003
With the Turks in Palestine,Alexander Aaronsohn,"November 30, 2003","November 30, 2003",English,10338,ASCII,11,4,2351,21442,2003
Dab Kinzer,William O. Stoddard,"November 30, 2003","November 30, 2003",English,10340,ASCII,64,4,9472,70765,2003
"The Great Events by Famous Historians, Vol. 21","Charles F. Horne, Editor","November 30, 2003","November 30, 2003",English,10341,ASCII,0,4,15684,153250,2003
The Velvet Glove,Henry Seton Merriman,"November 30, 2003","November 30, 2003",English,10342,ASCII,30,4,9396,76671,2003
"The Works of Charles and Mary Lamb, Volume 2",Charles Lamb,"November 30, 2003","November 30, 2003",English,10343,ASCII,3,4,21290,194859,2003
Audio: Go to Sea Once More,Roger McGuinn,"January 8, 2004","January 8, 2004",English,10348,US-ASCII,0,4,496,3795,2004
"The Works of Samuel Johnson, Vol. 6",Samuel Johnson,"December 1, 2003","December 1, 2003",English,10350,ASCII,0,4,19139,181313,2003
"The Works of Samuel Johnson, Vol. 10.",Samuel Johnson,"December 1, 2003","December 1, 2003",English,10351,ASCII,0,4,20269,193163,2003
"The Works of Samuel Johnson, Vol. 11.",Samuel Johnson,"December 1, 2003","December 1, 2003",English,10352,ASCII,0,4,19769,196213,2003
"Travels in Morocco, Vol. 1.",James Richardson,"December 1, 2003","December 1, 2003",English,10355,ASCII,14,4,5865,55058,2003
"Travels in Morocco, Vol. 2.",James Richardson,"December 1, 2003","December 1, 2003",English,10356,ASCII,20,4,5830,55294,2003
"Life Of Johnson, Volume 4 (of 6)",Boswell,"December 1, 2003","December 1, 2003",English,10357,ASCII,0,4,22656,205470,2003
The Boss of Little Arcady,Harry Leon Wilson,"December 1, 2003","December 1, 2003",English,10358,ASCII,31,4,10216,90332,2003
Aunt Jane's Nieces at Millville,Edith Van Dyne,"December 1, 2003","December 1, 2003",English,10359,ASCII,26,4,6809,52618,2003
Kitty's Class Day And Other Stories,Louisa M. Alcott,"December 1, 2003","December 1, 2003",English,10360,ASCII,0,4,9381,80636,2003
The Creative Process in the Individual,Thomas Troward,"December 1, 2003","December 1, 2003",English,10361,ASCII,11,4,3761,40248,2003
Sketches of the East Africa Campaign,Robert Valentine Dolbey,"December 1, 2003","December 1, 2003",English,10362,ASCII,0,4,4568,47078,2003
The Bravo,J. Fenimore Cooper,"December 1, 2003","December 1, 2003",English,10363,ASCII,31,4,16717,143394,2003
Yeast: A Problem,Charles Kingsley,"December 2, 2003","December 2, 2003",English,10364,ASCII,17,4,11492,99703,2003
Freedom's Battle,Mahatma Gandhi,"December 2, 2003","December 2, 2003",English,10366,ASCII,0,4,8129,81294,2003
The Vizier of the Two-Horned Alexander,Frank R. Stockton,"December 2, 2003","December 2, 2003",English,10368,ASCII,0,4,4125,41564,2003
"Memoir and Diary of John Yeardley, Minister of the Gospel",John Yeardley,"December 2, 2003","December 2, 2003",English,10369,ASCII,41,4,16013,151512,2003
Sustained honor,"John R. Musick,","December 2, 2003","December 2, 2003",English,10370,ASCII,40,4,12165,99095,2003
The Cinema Murder,E. Phillips Oppenheim,"December 3, 2003","December 3, 2003",English,10371,ASCII,31,4,9348,77565,2003
Bunch Grass,Horace Annesley Vachell,"December 3, 2003","December 3, 2003",English,10372,ASCII,0,4,11968,87786,2003
The Ramblin' Kid,Earl Wayland Bowman,"December 3, 2003","December 3, 2003",English,10374,ASCII,22,4,9536,74686,2003
England's Antiphon,George MacDonald,"December 3, 2003","December 3, 2003",English,10375,ASCII,46,4,12036,84602,2003
American Indian stories,Zitkala-Sa,"December 3, 2003","December 3, 2003",English,10376,ASCII,0,4,4007,35543,2003
The Evil Guest,J. Sheridan Le Fanu,"December 3, 2003","January 22, 2005",English,10377,ASCII,0,4,5439,49187,2003
